"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1757937871485546900","Thu Feb 15 01:20:24 +0000 2024","31089","Yang menang secara formal memang Prabowo-Gibran tapi yang menang secara simbolik adalah Joko Widodo. jokowi is indeed the real king; he's the most powerful man in the country. https://t.co/M0nE6Dg0gd","1757937871485546900","https://pbs.twimg.com/media/GGVzLHTbkAAeBDq.jpg","","in","Indonesia","698","822","4108","https://x.com/utdfocusid/status/1757937871485546900","1345281599605075969","utdfocusid"
"1829682463418814636","Sat Aug 31 00:47:47 +0000 2024","17721","jejak digital gibran menghina prabowo di kaskus kembali dibongkar netizen. penghinaan gibran sangat sadis https://t.co/mc8b0WvMtD","1829682463418814636","https://pbs.twimg.com/media/GWRWI7-bwAALfcB.jpg","","in","","216","483","5314","https://x.com/benaradil/status/1829682463418814636","1490799782952316930","benaradil"
"1795826031460569132","Wed May 29 14:34:25 +0000 2024","22087","Ponakannya Pak Prabowo sama Anaknya Pak Jokowi https://t.co/ZUhJLyHCWC","1795826031460569132","https://pbs.twimg.com/media/GOwNinObQAERpeT.jpg","","in","Kutub Selatan","9007","3726","3167","https://x.com/timpenguinnas/status/1795826031460569132","1457753196269473793","timpenguinnas"
"1757642400716222595","Wed Feb 14 05:46:18 +0000 2024","30490","prediksi sementara di @kawalpemilu_org anies: 69.19% prabowo: 27.14% ganjar: 3.67% https://t.co/DGu0nvLdh1","1757642400716222595","https://pbs.twimg.com/media/GGRmcFMXUAAwoOi.jpg","","in","","618","1086","4278","https://x.com/dayatpiliang/status/1757642400716222595","598073319","dayatpiliang"
"1826787824278143082","Fri Aug 23 01:05:32 +0000 2024","32483","LAGI RAME DI MEDSOS. BOIKOT ARTIS2 YG JD INFLUENCER JOKOWI/PRABOWO https://t.co/EMDhdleZ7h","1826787824278143082","https://pbs.twimg.com/media/GVoN16gbgAI4N6k.jpg","","in","","360","1189","9771","https://x.com/MayaA62580468/status/1826787824278143082","1459664329402290177","MayaA62580468"
"1759871131383984381","Tue Feb 20 09:22:29 +0000 2024","36880","Lain kali ajarkan sopan santun adab dan etika kepada ajudan anda bung @prabowo https://t.co/sMHQgUu3FK","1759871131383984381","https://pbs.twimg.com/media/GGxRcBLboAAWn_R.jpg","","in","","816","2211","5954","https://x.com/HukumDan/status/1759871131383984381","1182582278","HukumDan"
"1753837674144879054","Sat Feb 03 17:47:40 +0000 2024","38023","Kumpulan momen ketika prabowo selalu memikirkan anies sejak debat 7 Januari https://t.co/rYWG5xTNst","1753837674144879054","https://pbs.twimg.com/media/GFbVRDKa4AEzm2n.jpg","","in","antarctica","1476","825","7882","https://x.com/mediokere/status/1753837674144879054","1109849353269604352","mediokere"
"1783001408578760954","Wed Apr 24 05:13:57 +0000 2024","6439","BREAKING: KPU RI resmi menetapkan Prabowo Subianto &amp; Gibran Rakabuming Raka sebagai presiden dan wakil presiden terpilih 2024. https://t.co/uMcSNruCEx","1783001408578760954","https://pbs.twimg.com/media/GL5-VDHaIAEJ1S7.jpg","","in","Kutub Selatan","3839","691","521","https://x.com/timpenguinnas/status/1783001408578760954","1457753196269473793","timpenguinnas"
"1756574035025240533","Sun Feb 11 07:01:00 +0000 2024","21843","Suatu kehormatan bagi saya dapat hadir di tengah-tengah ratusan ribu rakyat Indonesia yang datang ke Gelora Bung Karno. Alhamdulillah kemarin kita telah menutup rangkaian kampanye pemilu 2024 dengan penuh semangat dan kegembiraan. Atas nama Prabowo-Gibran dan Koalisi https://t.co/xb6higzJNR","1756574035025240533","https://pbs.twimg.com/media/GGCaxAYa8AAiYFC.jpg","","in","Indonesia","330","2211","2962","https://x.com/prabowo/status/1756574035025240533","40580714","prabowo"
"1744223379794907525","Mon Jan 08 05:03:54 +0000 2024","19276","dua kata lucu: nangisin prabowo https://t.co/3eS2nnMm2C","1744223379794907525","https://pbs.twimg.com/ext_tw_video_thumb/1744206256720764928/pu/img/HZgkJ-k3kWlre6zc.jpg","","in","","3561","1681","3398","https://x.com/peachyslen/status/1744223379794907525","1647285392","peachyslen"
"1844646195689554222","Fri Oct 11 07:48:19 +0000 2024","2923","Pak @prabowo orang ini jd menteri gak walau dia sdh menghina anda? Jangan ya pak 🆘 https://t.co/BKZxionwEi","1844646195689554222","https://pbs.twimg.com/media/GZl_7yabMAA9E_9.jpg","","in","DKI Jakarta","38","154","1345","https://x.com/UmarSyadatHsb__/status/1844646195689554222","312049767","UmarSyadatHsb__"
"1748028724703068217","Thu Jan 18 17:04:59 +0000 2024","23535"," Terima kasih pak Prabowo pake pose jari Itu uang negara untuk bantuan ke Palestina jangan dipersonalisasi seakan-akan itu bantuan pribadi apalagi pake unsur unsur kampanye bener bener artis tolol https://t.co/U7YWvSL9k7","1748028724703068217","https://pbs.twimg.com/amplify_video_thumb/1748028593048031232/img/s0cpGLhDAH-o4i43.jpg","","in","","1829","959","5407","https://x.com/cinnamongirlc/status/1748028724703068217","58184629","cinnamongirlc"
"1844217833099755552","Thu Oct 10 03:26:09 +0000 2024","14270","Hakim keluhkan gaji 12 juta/bln DPR nya lansung telpon Prabowo. Sementara guru honorer gaji 200k/bln tak ada yg peduli . Benar2 sakit negeri ini. https://t.co/GiuX4TLTfz","1844217833099755552","https://pbs.twimg.com/ext_tw_video_thumb/1844217655017996288/pu/img/lu-beqwNhaA7YbqX.jpg","","in","","225","517","6401","https://x.com/regar_op0sisi/status/1844217833099755552","1749698965539553280","regar_op0sisi"
