id_str,full_text
1842618662093832366,Kalau melihat gestur &amp; sikap Prabowo prediksi saya fufufafa akan diganti entah cepat atau lambat https://t.co/CqhMkowpeD
1717378394894303314,Kalo liat ini makin jelas kalo PDIP mau rekonsiliasi gibran jadi cawapres prabowo dan tetap anggota PDIP. Kalo ganjar menang maka PDIP menang kalo prabowo menang maka PDIP tetep menang. Siapapun presidennya juaranya PDIP di pilpres 2024 https://t.co/mfy9EGg8An
1826431862035902896,Menghadiri Penutupan Munas XI Partai Golkar Jakarta Convention Center. https://t.co/ySIKLr6oCP
1770103136994431034,2 periode Jokowi 2 periode Prabowo 2 periode Gibran Oke gas oke gas https://t.co/vR4yQFWfj4
1826245305245020462,Pak Prabowo Subianto @Gerindra anda serius memilih DIAM dalam situasi begini? Heii...tunjukkan ISI KEPALAMU kenapa TUNDUK dengan keluarga Jokowi? Bukannya anda itu seorang Jenderal? https://t.co/k2oZ9DKeIA
1817387424819077283,Perang Jokowi vs Prabowo sudah dimulai dari Jawa Tengah Baru 5 hari Gerindra menyatakan Irjen Ahmad Lutfi jadi Calon Gubernur Jawa Tengah dia langsung dimutasi ke Kemendag Arahnya jelas terbaca mengurangi pengaruh Ahmad Lutfi untuk memuluskan jalan sang anak bungsu Kaesang https://t.co/Fkiae3aQkP
1756718908583915635,Gw udah nonton full dan bisa gw simpulkan semua hanyalah hal yang menyesatkan dan memang betul apa yang dikatakan timses prabowo semua adalah fitnah gw bisa bahas satu satu tiap menit pembahasan mana yang fitnah tapi sebelum itu dengan semua bukti dibawah ini bisa dipastikan https://t.co/RPg81cjVgA
1771195343528464828,Prabowo - Gibran Diputuskan tdk Boleh Jadi Presiden dan Wakil Presiden Oleh Mahkamah Internasional. https://t.co/wueHf6hEQX
1829749751925080564,Prabowo sedih ada tradisi menjelekkan pemimpin netizen gercep jadi penyelam handal umbar jejak digital gibran yg pernah hina prabowo Stroke Akun rkgbrn raka gnarly fufufafa adalah akun milik Gibran Raka Kumpulan chat gibran di kaskus dan twitter -a threads- https://t.co/Jagl2OBWfG
1843803296747901109,Keluarga Besar Pak @prabowo marah besar dengan fufufafa alias Samsul alias Slamet? Ya harus dan wajib marah besar. Pak Prabowo disamakan dengan binatang. Dihina dengan sangat kejam. Anak kesayangan dibully dengan sangat keji. Keterlaluan kalau tidak marah besar. Tetapi https://t.co/o4Mv6HpXUa
1777934795252826560,Selamat Hari Raya Idul Fitri 1 Syawal 1445 Hijriah. Minal Aidin Wal-Faidzin. Mohon maaf lahir &amp; batin. https://t.co/SOox4qTs1c
1831236729560510930, Anda masih BUJANGAN LAPUK Silfester Matutina Sayang sekali jika orang yang jadi representasi Jokowi Prabowo dan Istana tidak mampu membedakan mana Ide dan Pribadi Giliran diserang balik oleh Rocky Gerung malah NGAMUK kayak PREMAN jalanan https://t.co/dzXnpO89Zj
1843569682726445329,Presiden terpilih Prabowo Subianto akan menggelontorkan total anggaran Rp 800 miliar per hari untuk makan bergizi gratis ketika program unggulannya tersebut berjalan penuh untuk 82 9 juta penerima. #bisnisupdate #update #bisnis #oneliner https://t.co/MDg4FK9QPB https://t.co/oz3yPbIny9
